title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Selective attention improves transformer,"Y Leviathan, M Kalman, Y Matias",2024,26,… attention mechanism which reduces attention to unneeded elements. … a transformer trained with selective attention. In Appendix A.1 we show that a transformer with selective attention …,ERcy1KZRGX8J,"Y Leviathan, M Kalman, Y Matias - arXiv preprint arXiv:2410.02703, 2024 - arxiv.org",[],https://arxiv.org/abs/2410.02703,unknown,unknown
Attention as implicit structural inference,"R Singh, CL Buckley",2023,11,"… In this paper, we show the attention mechanism can naturally be described as inference on … , graph attention, which we call transformer attention hereafter) can be understood as taking …",0Rh25NOWCYsJ,"R Singh, CL Buckley - Advances in Neural Information …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/4e8a74988bc611495c2d3a5edac8493f-Abstract-Conference.html,unknown,unknown
Selective attention: Enhancing transformer through principled context control,"X Zhang, X Chang, M Li…",2024,24,"… The attention mechanism within the transformer architecture … While selfattention has enjoyed major success, it notably … As a solution, we introduce the “Selective Self-Attention” (SSA) …",a7OtdB0SzLsJ,"X Zhang, X Chang, M Li… - Advances in …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/14fc4a68da97a3d31eb11c642b0b10fc-Abstract-Conference.html,unknown,unknown
A hierarchical active inference framework for stable robotic control,"D Liu, Y Tan, S Wang",2025,0,"This paper presents Active Inference-Visuomotor Policy Learning (AIF-VPL), a novel active inference framework that bridges neuroscience principles with robotic imitation learning. …",aq6yZpAsz-YJ,"D Liu, Y Tan, S Wang - Expert Systems with Applications, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S095741742504518X,unknown,unknown
How transformers learn causal structures in-context: Explainable mechanism meets theoretical guarantee,"J Wei, S Chen, J He, Z Yang",2026,1,"… shows how attention mechanisms can perform sophisticated probabilistic inference over … on Markov chains, we demonstrate that transformers trained via gradient descent converge to …",ymBxqfhLi-cJ,"J Wei, S Chen, J He, Z Yang - The Fourteenth International …, 2026 - openreview.net",[],https://openreview.net/pdf?id=bpF8zgSt41,unknown,unknown
"Beyond Markov: Transformers, memory, and attention","T Parr, G Pezzulo, K Friston",2025,17,… transformers and their attention mechanisms as our starting point. We will suggest that the primary problem – that attention solves in the context of transformers … form of active inference. …,aAPImKTdboMJ,"T Parr, G Pezzulo, K Friston - Cognitive Neuroscience, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/17588928.2025.2484485,unknown,unknown
"Attention Sink in Transformers: A Survey on Utilization, Interpretation, and Mitigation","Z Su, H Zhang, W Wu, Y Zhang, Y Liu, H Xiao…",2026,0,"… This section examines strategies for systematically mitigating AS in transformer models, including Gated Attention Mechanisms [26… 77, 162], Learnable Attention Bias [66…",WtM2D8457qIJ,"Z Su, H Zhang, W Wu, Y Zhang, Y Liu, H Xiao… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.10098,unknown,unknown
Markovian Transformers: Bridging Sequential Modeling and Attention Mechanisms,"VK Joshi, S Nirkhi, A Karande…",2025,0,"… modulate attention logits—enable adaptive, token-wise control over memory span, blending local Markovian dynamics with global attention. We prove that Markovian Transformers can …",O602m92K6-oJ,"VK Joshi, S Nirkhi, A Karande… - 2025 International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11440371/,unknown,unknown
A road defect detection algorithm incorporating partially transformer and multiple aggregate trail attention mechanisms,"X Wang, H Gao, Z Jia, J Zhao",2025,15,"… First, we propose a new attention mechanism, aggregate multiple coordinate attention, that … partial—partially transformer block (CSP_PTB) that combines CNNs and transformers to yield …",e0ZnYokt68YJ,"X Wang, H Gao, Z Jia, J Zhao - Measurement Science and …, 2025 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1361-6501/ada1e7/meta,unknown,unknown
Transformer-based bearing fault detection using temporal decomposition attention mechanism,"M Mirzaeibonehkhater, MA Labbaf-Khaniki…",2024,12,… Our approach integrates TDA into the Transformer … attention mechanisms and achieves state-of-the-art performance in terms of accuracy and interpretability. The HEMA-Transformer-…,lcwXFnZ2M30J,"M Mirzaeibonehkhater, MA Labbaf-Khaniki… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2412.11245,unknown,unknown
